vno, mno, fno, vdate
1054,,10,2025-09-07 10:36:50
1055,2,10,2025-09-07 10:37:18
1056,2,10,2025-09-07 10:42:53
1057,2,10,2025-09-07 10:42:55
1058,2,10,2025-09-07 10:43:08
1059,2,10,2025-09-07 10:44:11
1060,2,10,2025-09-07 10:44:12
1061,2,10,2025-09-07 10:44:12
1062,2,10,2025-09-07 10:44:14
1063,2,10,2025-09-07 10:44:17
1064,2,10,2025-09-07 10:45:35
1065,2,10,2025-09-07 10:45:37
1066,2,10,2025-09-07 10:51:05
1067,2,10,2025-09-07 10:51:10
1068,2,10,2025-09-07 10:53:45
1069,2,10,2025-09-07 10:55:29
1070,2,10,2025-09-07 10:55:50
1071,2,10,2025-09-07 10:55:54
1072,2,10,2025-09-07 10:56:01
1073,,10,2025-09-07 10:56:18
1074,2,15,2025-09-07 10:57:26
1075,2,15,2025-09-07 10:57:32
1076,,10,2025-09-07 10:58:29
1077,,10,2025-09-07 10:59:09
1078,,10,2025-09-07 11:00:10
1079,,10,2025-09-07 11:00:37
1080,,10,2025-09-07 11:00:40
1081,,10,2025-09-07 11:01:10
1082,2,10,2025-09-07 11:01:27
1083,2,10,2025-09-07 11:10:09
1084,2,10,2025-09-07 11:10:12
1085,2,10,2025-09-07 11:12:29
1086,2,15,2025-09-07 11:12:45
1087,2,12,2025-09-07 11:12:47
1088,2,3,2025-09-07 11:12:49
1089,2,3,2025-09-07 11:12:56
1090,2,3,2025-09-07 11:12:56
1091,2,3,2025-09-07 11:13:06
1092,2,10,2025-09-07 11:13:26
1093,2,10,2025-09-07 11:14:43
1094,2,3,2025-09-07 11:15:09
1095,2,10,2025-09-07 11:15:19
1096,2,10,2025-09-07 11:20:37
1097,2,10,2025-09-07 11:20:52
1098,2,10,2025-09-07 11:21:05
1099,2,10,2025-09-07 11:21:44
1100,2,10,2025-09-07 11:22:02
1101,2,5,2025-09-07 11:22:26
1102,2,4,2025-09-07 11:22:29
1103,2,10,2025-09-07 11:22:32
1104,2,10,2025-09-07 11:22:36
1105,2,10,2025-09-07 11:22:45
1106,2,10,2025-09-07 11:22:51
1107,2,10,2025-09-07 11:24:25
1108,2,5,2025-09-07 11:24:27
1109,2,5,2025-09-07 11:24:36
1110,2,5,2025-09-07 11:27:29
1111,2,5,2025-09-07 11:27:48
1112,2,10,2025-09-07 11:28:49
1113,2,10,2025-09-07 11:29:04
1114,2,10,2025-09-07 11:29:07
1115,2,3,2025-09-07 11:29:15
1116,2,10,2025-09-07 11:34:38
1117,2,10,2025-09-07 11:34:47
1118,2,10,2025-09-07 11:44:45
1119,2,6,2025-09-07 11:45:06
1120,2,6,2025-09-07 11:45:10
1121,2,3,2025-09-07 11:45:25
1122,2,3,2025-09-07 19:42:33
1123,2,3,2025-09-07 19:42:35
